"ID","Gestartet am","Zuletzt aktualisiert am","Status","Collector","Sprache","IP-Adresse","Gerät","What is your gender?","What is your age?","What is your main profession?","Do you deal a lot with computers / IT?","Would you call the Amper AI ""creative""?","Would you call the DeepBach AI ""creative""?","First of all, do you agree with this definition of ""creativity""?","After reading the above definition of creativity, would you call the Amper AI ""creative""?","After reading the above definition of creativity, would you call the DeepBach AI ""creative""?"
"60078056","28.07.2022 17:55:06","28.07.2022 17:59:47","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","24","I work","Yes","Yes","No","Yes","Yes","No"
"60064162","28.07.2022 11:46:01","28.07.2022 11:50:48","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","62","I work","Yes","No","No","Yes","No","No"
"60024356","27.07.2022 09:44:11","27.07.2022 09:52:02","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","65","Something else","Yes","Yes","No","No","Yes","Yes"
"60012537","26.07.2022 23:06:59","26.07.2022 23:10:03","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","23","I study","Yes","Yes","No","Yes","Yes","No"
"60011908","26.07.2022 22:46:57","26.07.2022 22:50:25","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","59","I work","Yes","Yes","No","Yes","Yes","Yes"
"60008562","26.07.2022 21:09:58","26.07.2022 21:12:11","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","22","I study","No","No","No","Yes","No","No"
"60006578","26.07.2022 20:15:50","26.07.2022 20:21:57","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","43","I work","Yes","No","No","Yes","No","No"
"60004967","26.07.2022 19:28:44","26.07.2022 19:29:30","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","32","I work","No","","","","",""
"60003567","26.07.2022 18:50:22","26.07.2022 18:53:50","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","21","I study","Yes","No","No","No","No","No"
"60002918","26.07.2022 18:30:34","26.07.2022 18:31:33","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Male","50","I work","Yes","","","","",""
"60000108","26.07.2022 17:14:54","26.07.2022 17:17:23","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","18","I go to school","No","No","Yes","Yes","Yes","Yes"
"60000079","26.07.2022 17:14:15","27.07.2022 00:01:09","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","70","Something else","Yes","","","","",""
"59998989","26.07.2022 16:48:07","26.07.2022 16:55:46","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","47","I work","Yes","Yes","No","No","Yes","No"
"59996153","26.07.2022 15:40:29","26.07.2022 15:42:43","Abgeschlossen","Survey Link 1","-","-","Desktop","Female","59","I work","No","Yes","Yes","No","Yes","Yes"
"59987372","26.07.2022 12:10:24","26.07.2022 12:11:24","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","24","I work","Yes","No","Yes","No","Yes","Yes"
"59986736","26.07.2022 11:56:41","26.07.2022 11:57:38","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","45","I work","Yes","Yes","No","","",""
"59986644","26.07.2022 11:53:52","26.07.2022 11:54:50","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","27","I work","Yes","No","No","","",""
"59986638","26.07.2022 11:53:41","26.07.2022 11:56:28","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","22","I study","No","Yes","No","Yes","Yes","No"
"59986151","26.07.2022 11:38:13","26.07.2022 11:39:19","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","23","I study","Yes","Yes","Yes","Yes","Yes","Yes"
"59986047","26.07.2022 11:35:06","26.07.2022 11:36:52","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","24","I work","Yes","Yes","Yes","Yes","Yes","Yes"
"59985368","26.07.2022 11:17:15","26.07.2022 11:17:27","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","24","I study","Yes","","","","",""
"59985348","26.07.2022 11:16:39","26.07.2022 11:18:33","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","27","I study","Yes","Yes","Yes","No","Yes","No"
"59985334","26.07.2022 11:16:16","26.07.2022 13:20:35","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","22","I study","Yes","Yes","Yes","Yes","Yes","Yes"
"59985178","26.07.2022 11:11:58","26.07.2022 11:13:54","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","26","I work","No","No","No","No","Yes","Yes"
"59984710","26.07.2022 10:59:59","26.07.2022 11:00:17","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","32","I work","No","","","","",""
"59978418","26.07.2022 07:41:27","26.07.2022 07:48:49","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","49","I work","Yes","No","No","No","No","No"
"59939338","25.07.2022 14:54:48","25.07.2022 14:57:03","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","20","I study","Yes","No","No","No","No","No"
"59936510","25.07.2022 14:14:25","25.07.2022 14:19:34","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","49","I work","Yes","Yes","No","Yes","Yes","No"
"59936384","25.07.2022 14:11:59","25.07.2022 14:13:27","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","36","I work","Yes","No","No","Yes","No","No"
"59934054","25.07.2022 13:02:03","25.07.2022 13:34:19","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","49","I work","Yes","No","No","Yes","No","No"
"59933423","25.07.2022 12:47:18","25.07.2022 12:49:43","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","40","I work","Yes","No","No","No","No","No"
"59933038","25.07.2022 12:39:03","25.07.2022 12:42:41","Abgeschlossen","Survey Link 1","-","-","Desktop","Male","59","I work","Yes","Yes","Yes","Yes","Yes","Yes"
"59896135","23.07.2022 19:36:58","23.07.2022 19:41:18","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","21","I study","No","No","Yes","Yes","Yes","Yes"
"59856244","22.07.2022 11:25:13","22.07.2022 11:28:58","Abgeschlossen","Survey Link 1","-","-","Mobile","Female","21","I study","Yes","Yes","Yes","Yes","Yes","Yes"
"59848791","22.07.2022 05:41:29","22.07.2022 05:46:35","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","28","I work","Yes","Yes","Yes","","",""
"59844382","22.07.2022 00:22:09","22.07.2022 00:25:06","Abgeschlossen","Survey Link 1","-","-","Mobile","Male","25","I study","Yes","Yes","Yes","Yes","Yes","Yes"
"59834961","21.07.2022 18:22:56","21.07.2022 18:24:51","Angefangen, aber noch nicht abgeschlossen","Survey Link 1","-","-","Mobile","Female","61","I work","No","No","No","","",""
